CREA-BA - Conselho Regional de Engenharia e Agronomia da Bahia,,,,
SITAC - Sistema de Informações Técnicas e Administrativas do CREA-BA,,,,
,,,,
Relatório Gerencial:,RELATÓRIO GENÉRICO,,,
Grupo:,RELATÓRIOS,,,
Descrição:,,,,
,,,,
Data/Hora:,08/08/2025 às 09:08:31,,,
Local:,SEDE - SALVADOR - CONSELHO REGIONAL DE ENGENHARIA E AGRONOMIA,,,
,,,,
MODALIDADE,TÍTULO,TRATAMENTO,CÓDIGO,NÍVEL DE CURSO
ENGENHARIA,Engenheiro de Computação,Engenheira de ComputaçãoEngenheiro de Computação,1210100,GRADUAÇÃO
ENGENHARIA,Tecnólogo em Automação Industrial,Tecnóloga em Automação IndustrialTecnólogo em Automação Industrial,1220100,TECNOLÓGICO
ENGENHARIA,Engenheiro de Comunicações,Engenheira de ComunicaçõesEngenheiro de Comunicacões,1210200,GRADUAÇÃO
ENGENHARIA,Tecnólogo em Distribuição de Energia Elétrica,Tecnóloga em Distribuição de Energia ElétricaTecnólogo em Distribuição de Energia Elétrica,1220200,TECNOLÓGICO
ENGENHARIA,Engenheiro de Controle e Automação,Engenheira de Controle e AutomaçãoEngenheiro de Controle e Automacao,1210300,GRADUAÇÃO
ENGENHARIA,Tecnólogo em Eletricidade,Tecnóloga em EletricidadeTecnólogo em Eletricidade,1220300,TECNOLÓGICO
ENGENHARIA,Engenheiro de Operação,Engenheira de OperaçãoEngenheiro de Operação,1210400,GRADUAÇÃO
ENGENHARIA,Tecnólogo em Eletrônica,Tecnóloga em EletrônicaTecnólogo em Eletrônica,1220400,TECNOLÓGICO
ENGENHARIA,Engenheiro de Operação modalidade Eletrônica,Engenheira de Operação - EletrônicaEngenheiro de Operação - Eletrônica,1210401,GRADUAÇÃO
ENGENHARIA,Engenheiro de Operação modalidade Eletrotécnica,Engenheira de Operação - EletrotécnicaEngenheiro de Operação - Eletrotécnica,1210402,GRADUAÇÃO
ENGENHARIA,Engenheiro de Operação - Telecomunicações,Engenheira de Operação - TelecomunicaçõesEngenheiro de Operacao - Telecomunicacoes,1210403,GRADUAÇÃO
ENGENHARIA,Tecnólogo em Eletrônica Industrial,Tecnóloga em Eletrônica IndustrialTecnólogo em Eletrônica Industrial,1220500,TECNOLÓGICO
ENGENHARIA,Engenheiro de Produção Eletricista,Engenheira de Produção EletricistaEngenheiro de Produção  Eletricista,1210501,GRADUAÇÃO
ENGENHARIA,Engenheiro de Telecomunicações,Engenheira de TelecomunicaçõesEngenheiro de Telecomunicações,1210600,GRADUAÇÃO
ENGENHARIA,Tecnólogo em Eletrotécnica,Tecnóloga em EletrotécnicaTecnólogo em Eletrotécnica,1220600,TECNOLÓGICO
ENGENHARIA,Engenheiro de Transmissão,Engenheira de TransmissãoEngenheiro de Transmissão,1210700,GRADUAÇÃO
ENGENHARIA,Tecnólogo em Instrumentação e Controle,Tecnóloga em Instrumentação e ControleTecnologo em Instrumentacao e Controle,1220700,TECNOLÓGICO
ENGENHARIA,Tecnólogo em Manutenção de Computadores,Tecnóloga em Manutenção de ComputadoresTecnólogo em Manutenção de Computadores,1220703,TECNOLÓGICO
ENGENHARIA,Engenheiro Eletricista,Engenheira EletricistaEngenheiro Eletricista,1210800,GRADUAÇÃO
ENGENHARIA,Tecnólogo em Máquinas Elétricas,Tecnóloga em Máquinas ElétricasTecnologo em Maquinas Eletricas,1220800,TECNOLÓGICO
ENGENHARIA,Engenheiro Eletricista Eletrônica,Engenheira Eletricista EletrônicaEngenheiro Eletricista Eletrônica,1210801,GRADUAÇÃO
ENGENHARIA,Engenheiro Eletricista - Eletrotécnico,Engenheira Eletricista - EletrotécnicaEngenheiro Eletricista - Eletrotécnica,1210802,GRADUAÇÃO
ENGENHARIA,Tecnólogo em Sistemas Elétricos,Tecnóloga em Sistemas ElétricosTecnólogo em Sistemas Elétricos,1220900,TECNOLÓGICO
ENGENHARIA,Tecnologia em Técnica Digitais,Tecnologia em Técnica DigitaisTecnologo em Tecnicas Digitais,1221000,TECNOLÓGICO
ENGENHARIA,Engenheiro industrial,Engenheira industrialEngenheiro Industrial,1211100,GRADUAÇÃO
ENGENHARIA,Tecnólogo em Telecomunicações,Tecnóloga em TelecomunicaçõesTecnólogo em Telecomunicações,1221100,TECNOLÓGICO
ENGENHARIA,Engenheiro Industrial - Elétrica,Engenheira Industrial - ElétricaEngenheiro Industrial - Elétrica,1211101,GRADUAÇÃO
ENGENHARIA,Tecnologia em telecomunicações- Telefonicas redes exteriores,Tecnologia em telecomunicações- Telefonicas redes exterioresTecnologo em Telecomunicacoes-Telef. Redes Ext.,1221101,TECNOLÓGICO
ENGENHARIA,Engenheiro Industrial Eletrônica,Engenheira Industrial EletrônicaEngenheiro Industrial Eletrônica,1211102,GRADUAÇÃO
ENGENHARIA,Engenheiro Industrial - Eletrotécnico,Engenheira Industrial - EletrotécnicaEngenheiro Industrial - Eletrotécnico,1211103,GRADUAÇÃO
ENGENHARIA,Engenheiro Industrial - Telecomunicações,Engenheira Industrial - TelecomunicaçõesEngenheiro Industrial - Telecomunicações,1211104,GRADUAÇÃO
ENGENHARIA,Engenheiro Biomédico,Engenheira BiomédicaEngenheiro Biomédico,1211200,GRADUAÇÃO
ENGENHARIA,Tecnólogo em Sistemas de Telefonia,Tecnóloga em Sistemas de TelefoniaTecnólogo em Sistemas de Telefonia,1221200,TECNOLÓGICO
ENGENHARIA,Tecnólogo em Transmissão e Distribuição de energia eletrica,Tecnólogo em Transmissão e Distribuição de energia eletricaTecnólogo em Transmissão e Distribuição de energia eletrica,1221300,TECNOLÓGICO
ENGENHARIA,Tecnólogo em redes de computadores,Tecnóloga em redes de computadoresTecnólogo em Redes de Computadores,1221400,TECNOLÓGICO
ENGENHARIA,Tecnologia em redes de comunicação sem fio,Tecnologia em redes de comunicação sem fioTecnologo em Sistemas de Comunicacao sem Fio,1221500,TECNOLÓGICO
ENGENHARIA,Engenheiro de Energia,Engenheira de EnergiaEngenheiro de Energia,1211300,GRADUAÇÃO
ENGENHARIA,,,1210900,GRADUAÇÃO
ENGENHARIA,Engenheiro em Eletrônica,Engenheira em EletrônicaEngenheiro em Eletrônica,1210900,GRADUAÇÃO
ENGENHARIA,,,1210500,GRADUAÇÃO
ENGENHARIA,,,1211000,GRADUAÇÃO
ENGENHARIA,Engenheiro em Eletrotécnica,Engenheiro em EletrotécnicaEngenheiro em Eletrotécnica,1211000,GRADUAÇÃO
ENGENHARIA,Engenheiro de Software,Engenheira de SoftwareEngenheiro de Software,1211400,GRADUAÇÃO
ENGENHARIA,Engenheiro Eletricista,Engenheira EletricistaEngenheiro Eletricista,1210800,GRADUAÇÃO
ENGENHARIA,,,1210805,GRADUAÇÃO
ENGENHARIA,Engenheiro Elétricista,Engenheira EletricistaEngenheiro Eletricista,1210800,GRADUAÇÃO
ENGENHARIA,,,1222000,TECNOLÓGICO
ENGENHARIA,,,1221600,TECNOLÓGICO
ENGENHARIA,Engenheiro Eletricista - Sistemas de Energia e Automação,,1210808,GRADUAÇÃO
ENGENHARIA,Tecnólogo em Eletrônica Automotiva,Tecnóloga em Eletrônica AutomotivaTecnólogo em Eletrônica Automotiva,1220401,TECNOLÓGICO
